ASVs,Control,Trial,,MaxL2FChange,peak,copy number,lnpeak,MaxL2FChange_edit
3fa2974b1f70109275811beb1ae321c9,93863.7,106068.2,1.130023641,0.176352955,72,1,4.276666119,0.176352955
f1e34308d952529287ada31976faec95,7343.5,16233,2.210526316,1.144389909,240,1,5.480638923,1.144389909
3e5cc4006667756b128e551a166d5861,5991.3,17086.3,2.851851852,1.511899039,120,1,4.787491743,1.511899039
cf3381318906e1e08f58bca905636dc0,2593061.6,9920313.6,3.825714592,1.935729249,240,2,5.480638923,1.935729249
98f53519513214e968c569829a1471bb,6070,37148.4,6.12,2.613531653,240,2,5.480638923,2.613531653
801efb14d6457f799fd2becee6d07b72,13169.2,104711.2,7.951219512,2.99117615,120,2,4.787491743,2.99117615
d94c20c00db235bb6fccc68f06f100c7,7403.7,68675.7,9.275862069,3.213481367,48,1,3.871201011,3.213481367
8b1b6b50ee8e9d52ac980948823b441f,198.96,2122.24,10.66666667,3.415037499,120,2,4.787491743,3.415037499
c1d9eada909d2d5dbe078f25f1038508,6624,72036,10.875,3.442943496,120,3,4.787491743,3.442943496
a6db2d87f1e7a32216e5041a1920f12e,31878,989460,31.03896104,4.956008362,72,1,4.276666119,4.956008362
acc9603a819dc23a606ac6c1b9105b6d,22721.7,1270628.1,55.92134831,5.805327241,240,3,5.480638923,5.805327241
83c246c4ed456dea2a15d054f16009b3,25516.2,1901141.8,74.50724638,6.21930884,240,1,5.480638923,6.21930884
5ed8f8f3a98e669d81b30c56825e0870,8116.5,1095341,134.952381,7.07630662,240,2,5.480638923,7.07630662
27af011f1ebcc0867bb168193e6a9d27,25568,25568,1,0,240,1,5.480638923,NA
5c21f017407dbb74aea300b42e85dd30,447.66,447.66,1,0,48,1,3.871201011,NA
6310bd545c25bc818bce75d76bc259a1,596.88,596.88,1,0,120,2,4.787491743,NA
7af6ae689696e9ea838fbb88ee9afb78,124946.8,124946.8,1,0,120,1,4.787491743,NA
9d5fa8335722caf15c7501355831afdd,14739.2,14739.2,1,0,120,2,4.787491743,NA
a5e4fa1c4fdfceff6877d2ba21ae0b91,22188,22188,1,0,240,1,5.480638923,NA
b93f0c1f2e8178c7ce1d957ab357dd77,8605.6,8605.6,1,0,120,1,4.787491743,NA
efbe1f58b1e2984ddc53a64f047d94ff,3654868.4,3143774.4,0.860160765,-0.217321768,24,1,3.17805383,NA